(name: '& Ration~ of Food'; tval:80; tchar: ','; flags: $00000000; p1: 5000; cost: 30; subval: 307; weight: 10; number: 5; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '0d0'; level: 50), {  1}
(name: '& Potion~ of Gain Experience'; tval:75; tchar: '!'; flags: $00020000; p1: 0; cost: 250000; subval: 274; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {119}
(name: '& Potion~ of Haste Self'; tval:75; tchar: '!'; flags: $00400000; p1: 0; cost: 7500; subval: 279; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {120}
(name: '& Potion~ of Gain Dexterity'; tval:75; tchar: '!'; flags: $02000000; p1: 0; cost: 30000; subval: 284; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {121}
(name: '& Potion~ of Restore Dexterity'; tval:75; tchar: '!'; flags: $04000000; p1: 0; cost: 30000; subval: 285; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {122}
(name: '& Potion~ of Restore Constitution'; tval:75; tchar: '!'; flags: $68000000; p1: 0; cost: 30000; subval: 286; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {123}
(name: '& Potion~ of Learning'; tval:76; tchar: '!'; flags: $00000001; p1: 0; cost: 20000; subval: 287; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {124}
(name: '& Potion~ of Invulnerability'; tval:76; tchar: '!'; flags: $00000008; p1: 0; cost: 25000; subval: 290; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {125}
(name: '& Potion~ of Restore Life Levels'; tval:76; tchar: '!'; flags: $00000080; p1: 0; cost: 40000; subval: 294; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {126}
(name: '& Potion~ of Detect Invisible'; tval:76; tchar: '!'; flags: $00000400; p1: 0; cost: 5000; subval: 297; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {127}
(name: '& Potion~ of Neutralize Poison'; tval:76; tchar: '!'; flags: $00001000; p1: 0; cost: 7500; subval: 299; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {128}
(name: '& Potion~ of Restore Mana'; tval:76; tchar: '!'; flags: $00002000; p1: 0; cost: 3500; subval: 300; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {129}
(name: '& Potion~ Infra-Vision'; tval:76; tchar: '!'; flags: $00004000; p1: 0; cost: 2000; subval: 301; weight: 4; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {130}
(name: '& Flask~ of oil'; tval:77; tchar: '!'; flags: $00040000; p1: 7500; cost: 300; subval: 257; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '2d6'; level: 50), {131}
(name: '& Wand of Light (%P1 charges)'; tval:65; tchar: '-'; flags: $00000001; p1: 0; cost: 20000; subval: 1; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {132}
(name: '& Wand of Lightning Bolts (%P1 charges)'; tval:65; tchar: '-'; flags: $00000002; p1: 0; cost: 60000; subval: 2; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {133}
(name: '& Wand of Frost Bolts (%P1 charges)'; tval:65; tchar: '-'; flags: $00000004; p1: 0; cost: 80000; subval: 3; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {134}
(name: '& Wand of Fire Bolts (%P1 charges)'; tval:65; tchar: '-'; flags: $00000008; p1: 0; cost: 100000; subval: 4; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {135}
(name: '& Wand of Stone-to-Mud (%P1 charges)'; tval:65; tchar: '-'; flags: $00000010; p1: 0; cost: 30000; subval: 5; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {136}
(name: '& Wand of Polymorph (%P1 charges)'; tval:65; tchar: '-'; flags: $00000020; p1: 0; cost: 40000; subval: 6; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {137}
(name: '& Wand of Slow Monster (%P1 charges)'; tval:65; tchar: '-'; flags: $00000100; p1: 0; cost: 50000; subval: 9; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {138}
(name: '& Wand of Confuse Monster (%P1 charges)'; tval:65; tchar: '-'; flags: $00000200; p1: 0; cost: 40000; subval: 10; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {139}
(name: '& Wand of Sleep Monster (%P1 charges)'; tval:65; tchar: '-'; flags: $00000400; p1: 0; cost: 50000; subval: 11; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {140}
(name: '& Wand of Drain Life (%P1 charges)'; tval:65; tchar: '-'; flags: $00000800; p1: 0; cost: 120000; subval: 12; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {141}
(name: '& Wand of Trap/Door destruction (%P1 charges)'; tval:65; tchar: '-'; flags: $00001000; p1: 0; cost: 10000; subval: 13; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {142}
(name: '& Wand of Magic Missle (%P1 charges)'; tval:65; tchar: '-'; flags: $00002000; p1: 0; cost: 20000; subval: 14; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {143}
(name: '& Wand of Wall Building (%P1 charges)'; tval:65; tchar: '-'; flags: $00004000; p1: 0; cost: 40000; subval: 15; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {144}
(name: '& Wand of Clone Monster (%P1 charges)'; tval:65; tchar: '-'; flags: $00008000; p1: 0; cost: 15000; subval: 16; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {145}
(name: '& Wand of Teleport Away (%P1 charges)'; tval:65; tchar: '-'; flags: $00010000; p1: 0; cost: 35000; subval: 17; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {146}
(name: '& Wand of Disarming (%P1 charges)'; tval:65; tchar: '-'; flags: $00020000; p1: 0; cost: 70000; subval: 18; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {147}
(name: '& Wand of Lightning Balls (%P1 charges)'; tval:65; tchar: '-'; flags: $00040000; p1: 0; cost: 120000; subval: 19; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {148}
(name: '& Wand of Cold Balls (%P1 charges)'; tval:65; tchar: '-'; flags: $00080000; p1: 0; cost: 150000; subval: 20; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {149}
(name: '& Wand of Fire Balls (%P1 charges)'; tval:65; tchar: '-'; flags: $00100000; p1: 0; cost: 180000; subval: 21; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {150}
(name: '& Wand of Stinking Cloud (%P1 charges)'; tval:65; tchar: '-'; flags: $00200000; p1: 0; cost: 40000; subval: 21; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {151}
(name: '& Wand of Acid Balls (%P1 charges)'; tval:65; tchar: '-'; flags: $00400000; p1: 0; cost: 165000; subval: 21; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {152}
(name: '& Wand of Wonder (%P1 charges)'; tval:65; tchar: '-'; flags: $00800000; p1: 0; cost: 25000; subval: 22; weight: 10; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {153}
(name: '& Staff of Light (%P1 charges)'; tval:55; tchar: '_'; flags: $00000001; p1: 0; cost: 25000; subval: 1; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {154}
(name: '& Staff of Door/Stair Location (%P1 charges)'; tval:55; tchar: '_'; flags: $00000002; p1: 0; cost: 35000; subval: 2; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {155}
(name: '& Staff of Trap Location (%P1 charges)'; tval:55; tchar: '_'; flags: $00000004; p1: 0; cost: 35000; subval: 3; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {156}
(name: '& Staff of Treasure Location (%P1 charges)'; tval:55; tchar: '_'; flags: $00000008; p1: 0; cost: 20000; subval: 4; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {157}
(name: '& Staff of Object Location (%P1 charges)'; tval:55; tchar: '_'; flags: $00000010; p1: 0; cost: 20000; subval: 5; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {158}
(name: '& Staff of Teleportation (%P1 charges)'; tval:55; tchar: '_'; flags: $00000020; p1: 0; cost: 40000; subval: 6; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {159}
(name: '& Staff of Earthquakes (%P1 charges)'; tval:55; tchar: '_'; flags: $00000040; p1: 0; cost: 35000; subval: 7; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {160}
(name: '& Staff of Summoning (%P1 charges)'; tval:55; tchar: '_'; flags: $00000080; p1: 0; cost: 20000; subval: 8; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {161}
(name: '& Staff of *Destruction* (%P1 charges)'; tval:55; tchar: '_'; flags: $00000200; p1: 0; cost: 250000; subval: 10; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {162}
(name: '& Staff of Starlite (%P1 charges)'; tval:55; tchar: '_'; flags: $00000400; p1: 0; cost: 80000; subval: 11; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {163}
(name: '& Staff of Slow Monsters (%P1 charges)'; tval:55; tchar: '_'; flags: $00001000; p1: 0; cost: 80000; subval: 13; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {164}
(name: '& Staff of Sleep Monsters (%P1 charges)'; tval:55; tchar: '_'; flags: $00002000; p1: 0; cost: 70000; subval: 14; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {165}
(name: '& Staff of Detect Invisible (%P1 charges)'; tval:55; tchar: '_'; flags: $00008000; p1: 0; cost: 20000; subval: 16; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {166}
(name: '& Staff of Speed (%P1 charges)'; tval:55; tchar: '_'; flags: $00010000; p1: 0; cost: 80000; subval: 17; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {167}
(name: '& Staff of Mass Polymorph (%P1 charges)'; tval:55; tchar: '_'; flags: $00040000; p1: 0; cost: 75000; subval: 19; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {168}
(name: '& Staff of Remove Curse (%P1 charges)'; tval:55; tchar: '_'; flags: $00080000; p1: 0; cost: 50000; subval: 20; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {169}
(name: '& Staff of Detect Evil (%P1 charges)'; tval:55; tchar: '_'; flags: $00100000; p1: 0; cost: 35000; subval: 21; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {170}
(name: '& Staff of Curing (%P1 charges)'; tval:55; tchar: '_'; flags: $00200000; p1: 0; cost: 100000; subval: 22; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {171}
(name: '& Staff of Dispell Evil (%P1 charges)'; tval:55; tchar: '_'; flags: $00400000; p1: 0; cost: 120000; subval: 23; weight: 50; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d2'; level: 50), {172}
(name: '& Magic Book [Beginners-Magik+Magik I]'; tval:90; tchar: '?'; flags: $0000FFFF; p1: 0; cost: 40000; subval: 257; weight: 30; number: 1; tohit: -100; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {173}
(name: '& Magic Book [Magik II+Mages Guide to Power]'; tval:90; tchar: '?'; flags: $7FFF0000; p1: 0; cost: 80000; subval: 259; weight: 30; number: 1; tohit: -100; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {174}
(name: '& Prayer Book [Beginners Handbook+Words of Wisdom]'; tval:91; tchar: '?'; flags: $0000FFFF; p1: 0; cost: 2500; subval: 258; weight: 30; number: 1; tohit: -100; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50), {175}
(name: '& Prayer Book [Chants+Blessings+Exorcism+Dispelling]'; tval:91; tchar: '?'; flags: $7FFF0000; p1: 0; cost: 90000; subval: 261; weight: 30; number: 1; tohit: -100; todam: 0; ac: 0; toac: 0; damage: '1d1'; level: 50));{176}
